Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
2006,13.41,144027,Diesel,Individual,Manual,1,7.11
2019,27.52,118290,Petrol,Individual,Automatic,0,24.33
2014,23.88,199684,Petrol,Individual,Manual,0,18.32
2010,22.24,158044,Petrol,Dealer,Manual,0,16.54
2007,16.92,10267,Diesel,Dealer,Manual,2,13.03
2020,26.74,95885,Diesel,Individual,Manual,0,24.13
2006,14.58,52385,Petrol,Dealer,Manual,0,9.79
2018,6.19,160798,Diesel,Dealer,Manual,0,2.1
2022,25.45,198924,Petrol,Dealer,Automatic,0,21.55
2010,9.83,165664,Petrol,Individual,Automatic,0,4.0
2010,3.5,129380,Petrol,Individual,Manual,0,0.5
2023,5.53,64226,Petrol,Individual,Automatic,0,4.06
2020,19.05,197393,CNG,Individual,Automatic,0,14.77
2003,19.0,57385,Petrol,Dealer,Automatic,0,13.51
2007,9.29,195042,Petrol,Dealer,Manual,0,2.36
2023,22.36,31041,Petrol,Dealer,Automatic,0,21.44
2002,23.66,107323,Petrol,Individual,Manual,2,17.14
2021,27.77,74747,Petrol,Dealer,Automatic,0,25.71
2020,18.38,142058,Diesel,Dealer,Manual,0,15.01
2001,23.82,32635,Diesel,Dealer,Manual,0,18.33
2023,23.09,179266,Petrol,Dealer,Manual,0,19.72
2011,9.22,110949,Diesel,Individual,Automatic,0,4.5
2005,10.69,92419,Petrol,Dealer,Manual,0,5.04
2001,15.4,91048,Petrol,Individual,Manual,0,8.95
2020,2.53,117439,Diesel,Dealer,Manual,0,0.5
2000,10.33,159428,Petrol,Individual,Automatic,1,2.54
2011,15.27,10084,Petrol,Individual,Manual,0,12.21
2021,5.03,146168,Petrol,Individual,Manual,0,1.8
2011,5.54,61100,Diesel,Dealer,Automatic,0,1.64
2024,14.97,72596,Petrol,Dealer,Manual,0,13.57
2016,22.47,68388,Petrol,Individual,Automatic,0,19.49
2009,25.34,12463,Petrol,Individual,Manual,0,21.83
2015,17.3,24709,CNG,Individual,Automatic,0,14.83
2014,15.29,107758,Diesel,Dealer,Manual,0,11.24
2014,12.76,104126,Petrol,Individual,Manual,0,8.77
2018,7.4,23445,Petrol,Dealer,Manual,0,5.57
2011,6.1,160807,Petrol,Individual,Manual,2,0.56
2022,24.17,22290,Diesel,Individual,Manual,0,23.18
2019,15.02,37068,Diesel,Dealer,Manual,0,13.17
2024,24.13,182841,Diesel,Individual,Automatic,0,20.91
2002,21.71,64044,Diesel,Individual,Manual,2,15.91
2004,7.43,85324,Diesel,Dealer,Manual,0,1.69
2018,16.29,36553,Petrol,Dealer,Automatic,0,14.24
2006,14.43,163361,Petrol,Individual,Automatic,2,7.82
2020,13.87,9428,Diesel,Individual,Automatic,0,12.68
2008,17.19,36611,Diesel,Dealer,Manual,1,13.08
2006,29.5,132056,CNG,Dealer,Manual,0,23.4
2017,24.76,172090,Petrol,Individual,Manual,0,20.27
2003,27.3,99606,Petrol,Dealer,Manual,0,21.12
2024,2.83,104645,Diesel,Individual,Automatic,0,0.9
2013,5.93,157160,Petrol,Individual,Manual,0,0.86
2017,4.37,138149,Petrol,Individual,Manual,0,0.5
2008,9.37,182311,CNG,Individual,Manual,2,2.86
2020,14.37,75065,Petrol,Dealer,Manual,1,12.1
2001,19.98,87950,Petrol,Individual,Manual,0,13.58
2019,16.02,154286,Diesel,Individual,Manual,0,12.24
2014,27.29,76100,Petrol,Individual,Manual,0,23.77
2006,28.32,54935,Petrol,Individual,Manual,2,23.49
2011,6.58,95826,Petrol,Individual,Manual,1,2.11
2007,25.88,75564,Diesel,Dealer,Manual,0,20.92
2014,15.49,159932,Petrol,Dealer,Manual,0,10.58
2002,14.69,13781,Diesel,Dealer,Manual,0,9.71
2013,23.98,26881,Petrol,Dealer,Manual,0,21.06
2016,4.61,14243,Petrol,Individual,Manual,0,2.52
2003,26.71,54641,Diesel,Dealer,Manual,0,21.27
2017,20.78,48972,Petrol,Dealer,Manual,2,18.32
2007,26.51,88665,Petrol,Individual,Manual,0,21.33
2003,29.85,70017,Petrol,Dealer,Manual,0,24.15
2001,16.5,163915,Petrol,Individual,Manual,0,8.84
2005,4.61,134278,Diesel,Dealer,Manual,0,0.5
2021,6.66,99422,CNG,Individual,Manual,0,4.2
